país,codigo_pais,factor_(serie),codigo_serie,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Brasil,BRA,"Inflación, índice de deflación del PIB (% anual)",NY.GDP.DEFL.KD.ZG,206.2087,627.9515,1304.4242,2736.9707,416.6781,969.013,1996.1502,2240.1689,93.978,18.4562,7.729,4.9244,8.0105,5.6061,8.2251,9.7981,14.091,7.7521,7.4312,6.7743,6.439,8.7786,7.3135,8.4233,8.3186,7.9431,7.5046,7.8467,7.5662,8.1036,3.6714,4.4935,4.2243,6.4725,11.3841,8.2832
Brasil,BRA,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,228.3362,629.1145,1430.7237,2947.7328,432.7867,951.9621,1927.3808,2075.8884,66.007,15.7577,6.9267,3.1951,4.8584,7.0441,6.8404,8.4502,14.7149,6.5972,6.8695,4.1836,3.6413,5.6786,4.888,5.0387,6.6364,5.4035,6.2043,6.329,9.0299,8.7391,3.4464,3.6649,3.733,3.2118,8.3017,9.2801
Burkina Faso,BFA,"Inflación, índice de deflación del PIB (% anual)",NY.GDP.DEFL.KD.ZG,1.2373,3.4086,4.8316,1.81,-3.9678,0.2271,-1.4418,14.639,6.7696,0.3487,1.5562,7.9403,17.3908,-0.8198,3.9616,3.057,1.4847,0.0906,3.7394,-0.6628,2.4923,9.1598,2.4055,3.7796,6.738,5.824,-2.1292,-0.6204,-2.224,2.6043,1.4163,1.074,1.6171,6.835,-0.8166,6.0542
Burkina Faso,BFA,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,-2.6818,4.2556,-0.4818,-0.5043,2.1626,-1.9911,0.5535,25.1779,7.4588,6.0978,2.3187,5.0843,-1.0726,-0.3042,5.0074,2.1757,2.0346,-0.4002,6.415,2.3331,-0.2306,10.6598,2.6082,-0.7642,2.7598,3.8182,0.5337,-0.2581,0.7248,0.441,1.483,1.9559,-3.2334,1.8844,3.6535,14.2902
China,CHN,"Inflación, índice de deflación del PIB (% anual)",NY.GDP.DEFL.KD.ZG,5.0825,12.1077,8.6025,5.7112,6.7145,8.1903,15.1859,20.617,13.6657,6.5067,1.6166,-0.9003,-1.2631,2.0628,2.047,0.6021,2.6032,6.952,3.9037,3.9265,7.7497,7.7953,-0.2095,6.8814,8.0757,2.3312,2.1634,1.0311,-0.0029,1.4073,4.2327,3.4997,1.2867,0.4925,4.5533,2.2473
China,CHN,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,7.2338,18.8118,18.2456,3.0523,3.5567,6.354,14.6101,24.257,16.7912,8.3132,2.7865,-0.7732,-1.4015,0.3478,0.7191,-0.732,1.1276,3.8246,1.7764,1.6494,4.8168,5.9253,-0.7282,3.1753,5.5539,2.6195,2.6211,1.9216,1.437,2.0,1.5931,2.0748,2.8992,2.4194,0.981,1.9736
Canadá,CAN,"Inflación, índice de deflación del PIB (% anual)",NY.GDP.DEFL.KD.ZG,4.7907,4.5407,4.7021,3.3918,3.0515,1.461,1.2859,1.4552,2.2517,1.7451,1.1443,-0.1794,1.9026,4.3354,1.6586,1.239,3.2547,3.2663,3.1229,2.5738,3.2784,3.9872,-2.314,2.8495,3.2355,1.2132,1.7374,1.9446,-0.8767,0.754,2.565,1.6174,1.5662,0.6155,8.1533,7.3326
Canadá,CAN,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,4.3561,4.0282,4.9836,4.7805,5.6259,1.4901,1.8651,0.1656,2.1488,1.5705,1.6212,0.9959,1.7348,2.7194,2.5251,2.2584,2.7586,1.8573,2.2136,2.002,2.1384,2.3703,0.2995,1.7769,2.9121,1.5157,0.9383,1.9066,1.1252,1.4288,1.5969,2.2682,1.9493,0.717,3.3952,6.8028
Camboya,KHM,"Inflación, índice de deflación del PIB (% anual)",NY.GDP.DEFL.KD.ZG,,,,,,,,59.9653,8.0042,3.0325,6.0051,10.3577,1.2616,-4.2832,2.6465,0.7131,1.7975,4.8237,6.0767,4.6311,6.518,12.2538,2.5044,3.1206,3.3641,1.4405,0.7814,2.6322,1.7861,3.4753,3.341,3.1118,3.2354,-0.6719,1.2919,5.7422
Camboya,KHM,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,,,,,,,,,-0.7989,7.1509,7.9602,14.8065,4.0082,-0.792,-0.6006,0.2115,0.9417,4.3193,6.6153,5.8107,8.7088,24.0969,-1.2417,3.9964,5.4784,2.9343,2.9416,3.8557,1.2239,3.0191,2.9126,2.4591,1.9426,2.9403,2.9207,5.3437
Chad,TCD,"Inflación, índice de deflación del PIB (% anual)",NY.GDP.DEFL.KD.ZG,-3.1331,9.3619,-1.2526,8.0123,3.0735,-12.9066,-1.3146,43.545,8.8331,11.4585,3.7828,6.7494,-7.5729,5.2898,13.7977,1.9078,0.079,9.7343,28.1119,9.9844,3.3019,8.6488,-9.5588,6.3912,8.5804,1.0972,-4.1414,0.6458,-8.48,-1.4008,0.0283,5.0147,2.856,-5.4549,7.2,18.6558
Chad,TCD,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,-5.9748,15.4775,-3.6891,-0.7383,3.1939,-3.113,-8.4279,41.7249,9.2303,11.3309,5.5723,4.2589,-8.0251,3.8226,12.4313,5.1918,-1.7526,-5.3554,7.8904,8.0363,-8.9747,10.297,9.9524,-2.0779,2.0292,7.5166,0.2227,1.682,4.3771,-0.7924,-1.5371,4.2746,-0.9719,4.4641,-0.7728,5.788
