país,codigo_pais,factor_(serie),codigo_serie,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Nueva Zelandia,NZL,"Inflación, índice de deflación del PIB (% anual)",NY.GDP.DEFL.KD.ZG,11.4711,7.9076,5.6395,2.4236,0.8903,2.0014,1.4797,1.907,1.4311,1.3894,1.5619,1.0505,0.5869,2.8836,3.8615,0.2979,2.0689,2.758,2.0002,2.691,5.3007,2.7075,2.7027,3.1371,2.4851,-0.1736,4.1568,0.4161,1.4312,2.3481,3.5172,1.7524,3.1001,2.0113,4.8049,5.6466
Nueva Zelandia,NZL,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,15.7443,6.3752,5.716,6.0984,2.6024,1.0146,1.2882,1.7454,3.7549,2.2857,1.1871,1.2652,-0.1143,2.6152,2.6258,2.6771,1.7536,2.2902,3.037,3.3654,2.3761,3.9589,2.1157,2.302,4.0279,1.0599,1.1344,1.2275,0.2927,0.6462,1.8508,1.5983,1.6196,1.7146,3.9411,7.1722
Reino Unido,GBR,"Inflación, índice de deflación del PIB (% anual)",NY.GDP.DEFL.KD.ZG,5.4405,6.1332,7.9359,7.8862,6.4191,3.321,2.733,1.3936,11.6502,4.8205,0.1541,1.5502,1.4283,1.312,1.8156,2.223,2.5187,2.6532,3.0109,3.0042,2.3302,3.3258,1.9093,1.4335,2.1242,1.4763,2.1713,1.2778,0.7126,1.8786,1.7912,1.7379,2.1134,5.9331,0.0166,5.4107
Reino Unido,GBR,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,4.1489,4.1554,5.7602,8.0635,7.4618,4.5915,2.5586,2.219,2.6975,2.8518,2.2011,1.8206,1.753,1.183,1.5323,1.5204,1.3765,1.3904,2.0891,2.4557,2.3866,3.5214,1.9617,2.4927,3.8561,2.5732,2.2917,1.4511,0.368,1.0084,2.5578,2.2928,1.7381,0.9895,2.5184,7.922
Rwanda,RWA,"Inflación, índice de deflación del PIB (% anual)",NY.GDP.DEFL.KD.ZG,0.6653,2.2254,5.2971,13.4615,14.9789,7.2833,13.8705,17.1913,51.2666,10.9214,15.6215,2.2282,11.1026,3.2757,-0.3917,-5.2281,20.3627,11.0961,9.0303,2.4612,12.9353,14.4562,7.1478,3.187,7.1925,4.7232,2.6906,4.7322,0.4863,5.0293,8.1429,-0.6391,2.4444,6.7239,2.7248,16.0322
Rwanda,RWA,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,4.133,2.9786,1.0103,4.1858,19.6372,9.5604,12.3544,,,7.4114,12.0154,6.2101,-2.4059,3.8995,3.3429,1.9926,7.4497,12.2507,9.0141,8.8828,9.0807,15.4382,12.9444,-0.2461,3.0802,10.271,5.9243,2.3545,2.5285,7.1743,8.2795,-0.3112,3.3479,9.8504,-0.3913,17.6892
Samoa,WSM,"Inflación, índice de deflación del PIB (% anual)",NY.GDP.DEFL.KD.ZG,4.5174,18.374,-2.7921,9.0064,6.1114,8.566,0.6547,68.228,-6.9755,4.5901,11.8364,3.4136,1.1262,2.0749,3.3668,1.4814,2.5475,7.0728,3.9951,5.2741,7.4887,9.1198,1.6777,-5.1459,-0.9099,4.0265,2.3463,0.8531,3.9647,2.2448,0.3049,1.0976,1.4995,1.2236,-0.4037,6.3852
Samoa,WSM,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,4.5668,8.5079,6.4626,15.2385,-1.8192,9.0311,1.7151,12.0804,-2.9035,5.3746,6.8618,2.2188,0.2651,0.9668,3.8383,8.0503,0.1158,16.3132,1.8568,3.7001,5.5771,11.5659,6.325,0.777,5.2354,2.049,0.6101,-0.4068,0.7245,1.3047,1.7499,4.1975,0.9823,-1.5689,3.1332,10.9619
Sierra Leona,SLE,"Inflación, índice de deflación del PIB (% anual)",NY.GDP.DEFL.KD.ZG,165.6766,64.2882,61.4913,70.5915,128.7617,82.0236,26.7363,25.062,33.598,29.5805,2.2528,23.7751,17.1939,3.2811,71.352,-3.9342,13.1977,12.8265,16.6158,12.493,6.602,9.2137,8.5481,17.4339,17.2951,12.0412,6.9591,1.7954,19.6403,5.8517,8.956,14.0106,7.7028,10.915,6.6915,21.479
Sierra Leona,SLE,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,,,,,,,,,,,,,,,,,,,,,11.65,8.2111,7.469,7.1857,6.7914,6.5878,5.5241,4.6393,6.6894,10.8861,18.2215,16.0295,14.805,13.4469,11.874,27.2083
Sudáfrica,ZAF,"Inflación, índice de deflación del PIB (% anual)",NY.GDP.DEFL.KD.ZG,14.848,15.4208,17.0817,15.4454,15.6545,14.714,13.3643,9.8122,10.8383,8.0221,8.1374,8.0757,6.8888,9.1822,7.8005,12.538,6.3958,6.0422,5.597,6.0646,8.2458,7.8503,8.663,6.1284,5.5391,4.6852,5.8441,5.3665,5.5455,6.9522,5.4733,3.7458,4.6381,5.6926,6.219,5.0543
Sudáfrica,ZAF,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,16.1606,12.7795,14.7309,14.321,15.3348,13.8747,9.7175,8.9385,8.6804,7.3541,8.5978,6.8805,5.1815,5.339,5.7019,9.4947,5.6794,-0.692,2.0628,3.2439,6.1778,10.0746,7.2153,4.0897,4.9993,5.7247,5.7845,6.1298,4.5406,6.5714,5.1842,4.5172,4.1202,3.21,4.6117,7.0397
Singapur,SGP,"Inflación, índice de deflación del PIB (% anual)",NY.GDP.DEFL.KD.ZG,0.5324,5.4307,4.1592,4.6974,4.4353,1.3877,3.4562,3.4627,3.1763,1.5062,1.085,-1.3288,-3.5778,3.8635,-1.8144,-0.8969,-1.799,3.9595,1.9005,1.8442,5.9168,-1.3816,2.9539,1.1078,1.1708,0.4953,-0.4311,-0.2673,3.072,0.4695,2.8752,3.5347,-0.2016,-2.6965,8.7844,9.0518
Singapur,SGP,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,0.5233,1.5232,2.3455,3.4608,3.4257,2.2631,2.2893,3.1001,1.7205,1.3832,2.0036,-0.2675,0.0167,1.3616,0.9972,-0.3917,0.5079,1.6627,0.4251,0.9629,2.1049,6.6278,0.5967,2.8237,5.2478,4.5756,2.3586,1.0251,-0.5226,-0.5323,0.5763,0.4386,0.5653,-0.1819,2.3049,6.1211
Suiza,CHE,"Inflación, índice de deflación del PIB (% anual)",NY.GDP.DEFL.KD.ZG,2.1935,2.7902,3.4585,4.6036,5.4091,2.1246,2.322,1.1844,0.7378,0.28,-0.4765,-0.1893,0.0438,1.3673,0.9744,-0.2495,1.1798,0.2966,0.9246,2.1503,2.3771,1.4499,0.4575,0.3127,-0.0205,0.0637,-0.0868,-0.6531,-1.2651,-0.5833,-0.3679,0.7643,-0.1039,-0.7412,1.0599,3.2804
Suiza,CHE,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,1.4403,1.8725,3.1553,5.404,5.8596,4.037,3.2926,0.8521,1.7998,0.8116,0.5202,0.0179,0.8064,1.5585,0.989,0.6427,0.6383,0.8029,1.172,1.0595,0.7324,2.426,-0.4805,0.6882,0.2313,-0.6926,-0.2173,-0.0132,-1.1439,-0.4346,0.5338,0.9363,0.3629,-0.7259,0.5818,2.835
Venezuela,VEN,"Inflación, índice de deflación del PIB (% anual)",NY.GDP.DEFL.KD.ZG,37.4445,18.4977,89.1631,41.7407,21.4496,28.2441,31.6458,62.8907,51.7599,115.5247,33.9475,18.8903,26.1927,29.4528,7.9969,33.0229,34.9338,33.9537,29.6041,17.9043,15.4485,30.1325,7.8317,45.9433,28.1492,14.0594,35.5027,40.4405,,,,,,,,
Venezuela,VEN,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,,,,,,,,,,,,,,,,,,,,,,,27.0809,28.1875,26.0902,21.069,40.6394,62.1686,121.7381,254.9485,,,,,,
Colombia,COL,"Inflación, índice de deflación del PIB (% anual)",NY.GDP.DEFL.KD.ZG,23.3769,27.7501,24.6858,52.3361,27.0058,22.6644,24.8416,22.0964,18.851,16.8684,16.8399,14.773,12.6229,33.6754,6.5184,5.9682,6.829,7.283,4.7532,5.8077,5.202,7.6774,4.0642,3.8049,6.3868,3.6167,1.9077,2.2356,2.4493,5.1483,5.1337,4.6306,4.0026,1.4802,7.6676,14.1885
Colombia,COL,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,23.302,28.1084,25.8675,29.152,30.3878,27.0106,22.4425,22.8462,20.8918,20.7976,18.47,18.677,10.8737,9.2253,7.9656,6.3515,7.1298,5.904,5.051,4.2934,5.5444,6.9969,4.2025,2.272,3.415,3.1693,2.017,2.8988,4.9898,7.5135,4.3143,3.2406,3.523,2.5266,3.4951,10.1772
Japón,JPN,"Inflación, índice de deflación del PIB (% anual)",NY.GDP.DEFL.KD.ZG,-0.0798,0.7417,2.043,2.656,2.8226,1.6137,0.5091,2.0491,-0.5235,-0.4458,0.5045,-0.0267,-1.2411,-1.3363,-1.0849,-1.391,-1.6077,-1.1248,-1.194,-0.862,-0.7052,-0.9115,-0.5696,-1.8807,-1.6221,-0.7561,-0.3544,1.6863,2.1113,0.4199,-0.0743,-0.0002,0.6348,0.9442,-0.2275,0.2445
Japón,JPN,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,0.1262,0.6786,2.2723,3.0785,3.2514,1.7603,1.243,0.6955,-0.1279,0.1366,1.7478,0.662,-0.3413,-0.6766,-0.7401,-0.9235,-0.2565,-0.0086,-0.2829,0.2494,0.06,1.3801,-1.3528,-0.7282,-0.2725,-0.0441,0.335,2.7592,0.7953,-0.1273,0.4842,0.9891,0.4688,-0.025,-0.2334,2.4977
Kenya,KEN,"Inflación, índice de deflación del PIB (% anual)",NY.GDP.DEFL.KD.ZG,5.402,6.4556,9.769,10.6372,12.532,18.8972,25.6985,17.0164,11.2211,41.9888,11.4352,6.9314,4.1939,6.0798,1.5731,0.9332,6.1973,7.1268,4.8996,23.5301,8.1295,15.1512,27.6968,1.6392,10.065,9.523,7.3376,7.635,9.2387,5.8496,7.5819,4.215,4.2752,4.9489,4.3307,6.0088
Kenya,KEN,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,8.6377,12.265,13.7893,17.7818,20.0845,27.3324,45.9789,28.8144,1.5543,8.8641,11.3618,6.7224,5.742,9.98,5.7386,1.9613,9.8157,11.624,10.3128,14.4537,9.7589,26.2398,9.2341,3.9614,14.0225,9.3778,5.7175,6.8782,6.5822,6.2972,8.0057,4.6898,5.2359,5.4048,6.1109,7.6569
Noruega,NOR,"Inflación, índice de deflación del PIB (% anual)",NY.GDP.DEFL.KD.ZG,7.2213,4.8685,5.6123,3.8116,2.2118,-0.6398,2.2929,-0.156,3.0614,4.2615,2.7858,-0.6926,6.623,15.3333,1.7126,-1.5202,2.8608,5.8502,8.763,8.7321,3.0777,10.5664,-5.1159,5.9554,6.6728,3.3531,2.5532,0.2583,-2.8045,-1.5981,4.0809,6.7429,-0.5484,-2.5173,17.1026,28.0333
Noruega,NOR,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,8.717,6.6764,4.5461,4.131,3.4382,2.3281,2.2883,1.3757,2.4604,1.2625,2.5669,2.2524,2.366,3.0855,3.0042,1.2867,2.4878,0.4545,1.5321,2.3293,0.7126,3.7539,2.1974,2.4189,1.285,0.6969,2.1205,2.0417,2.1711,3.55,1.8751,2.7648,2.1677,1.2866,3.4839,5.7641
