GDP per capita (current US$),"Inflation, GDP deflator (annual %)","Inflation, consumer prices (annual %)","Life expectancy at birth, total (years)",Population growth (annual %),ratio_population ages 65 and above,ratio_urban population,Urban population growth (annual %)
-0.9295478790211077,-0.5201897514996311,-1.163893904040152,-1.5323388911714098,1.8652850155829612,-1.2102654687711094,-1.5486774928740492,1.7336769220078534
0.8284168726216732,-0.24182294578442082,-1.163893904040152,0.59099198023747,-0.2029674438284903,-1.3240214411011326,0.8493617093798816,-0.33456400527381314
-0.5083683679034485,2.8869558435572857,-1.163893904040152,0.27426313719275985,-0.03737673365100427,0.07699779848499995,1.048653154588701,-0.3370934845537664
1.2991991410822943,-0.29474511164044137,-0.15594878165160814,1.0747815750253682,0.08829291372126391,0.7077155267961699,0.8181160045643996,-0.24108858392211388
1.0469213946206812,-0.34845517853241204,0.018830744458758143,0.8912563774869245,-0.46091547220405404,1.1167750114870014,-0.26232103140862617,-0.451130067575682
-0.8978261317507487,-0.3230366755937837,0.18839074216193424,-1.898054647340078,1.6757315282431742,-1.1900240897704275,-1.368963760021613,2.3421940925662392
-0.6092532162644918,-0.05470371263333048,0.8911561228123728,-0.026420473893185113,-0.36703516295878824,-0.25746000540040487,0.850438862144049,-0.4629351142967724
0.9503140065370113,-0.26265885995630844,-0.06078923565322991,0.9730220693344446,0.2579425959756051,0.9565740199041012,0.634392344873627,-0.14416342101114224
2.4589405955686088,-0.46330852279810697,-0.8730233101703422,1.1482939013179385,-0.27069631975500413,1.057014916248914,0.33395742331347966,-0.5374229537247887
-0.4989664893240603,-0.3588808879271927,-0.4095587553161784,0.40210985721635556,-0.7846221999829162,0.200066770473644,-0.15893659668316773,0.37726761019170746
-0.687725980991388,-0.09327034204480235,0.5099916932408058,0.11543935678007831,0.4008284017364902,-0.371651841138676,0.6283932706333789,0.1781835929489572
-0.443618476227592,-0.3429227386447649,-0.06728895756566575,0.5985896981249524,-0.27398565796129226,-0.13056025227482582,0.6013224790942523,0.03212318730053194
