Pais,Año,Indicador,Valor,Indicador_name
AUT,2015,FP.CPI.TOTL.ZG,0.896563335260302,"Inflation, consumer prices (annual %)"
AUT,2016,FP.CPI.TOTL.ZG,0.891591752655335,"Inflation, consumer prices (annual %)"
AUT,2017,FP.CPI.TOTL.ZG,2.08126911385587,"Inflation, consumer prices (annual %)"
AUT,2018,FP.CPI.TOTL.ZG,1.99837981429546,"Inflation, consumer prices (annual %)"
AUT,2019,FP.CPI.TOTL.ZG,1.53089564152645,"Inflation, consumer prices (annual %)"
AUT,2020,FP.CPI.TOTL.ZG,1.38191063351859,"Inflation, consumer prices (annual %)"
AUT,2021,FP.CPI.TOTL.ZG,2.76666666666665,"Inflation, consumer prices (annual %)"
AUT,2022,FP.CPI.TOTL.ZG,8.54686993188453,"Inflation, consumer prices (annual %)"
BFA,1987,FP.CPI.TOTL.ZG,-2.68178423511595,"Inflation, consumer prices (annual %)"
BFA,1988,FP.CPI.TOTL.ZG,4.25561601785942,"Inflation, consumer prices (annual %)"
BFA,1989,FP.CPI.TOTL.ZG,-0.481798715203327,"Inflation, consumer prices (annual %)"
BFA,1990,FP.CPI.TOTL.ZG,-0.50430338891893,"Inflation, consumer prices (annual %)"
BFA,1991,FP.CPI.TOTL.ZG,2.16260052713424,"Inflation, consumer prices (annual %)"
BFA,1992,FP.CPI.TOTL.ZG,-1.99113580736895,"Inflation, consumer prices (annual %)"
BFA,1993,FP.CPI.TOTL.ZG,0.553455723541917,"Inflation, consumer prices (annual %)"
BFA,1994,FP.CPI.TOTL.ZG,25.1778762249963,"Inflation, consumer prices (annual %)"
BFA,1995,FP.CPI.TOTL.ZG,7.45884497828323,"Inflation, consumer prices (annual %)"
BFA,1996,FP.CPI.TOTL.ZG,6.09780439121743,"Inflation, consumer prices (annual %)"
BFA,1997,FP.CPI.TOTL.ZG,2.31869062176682,"Inflation, consumer prices (annual %)"
BFA,1998,FP.CPI.TOTL.ZG,5.08433344145323,"Inflation, consumer prices (annual %)"
BFA,1999,FP.CPI.TOTL.ZG,-1.07261362759535,"Inflation, consumer prices (annual %)"
BFA,2000,FP.CPI.TOTL.ZG,-0.304212168486795,"Inflation, consumer prices (annual %)"
BFA,2001,FP.CPI.TOTL.ZG,5.00743290822374,"Inflation, consumer prices (annual %)"
BFA,2002,FP.CPI.TOTL.ZG,2.17569480664608,"Inflation, consumer prices (annual %)"
BFA,2003,FP.CPI.TOTL.ZG,2.03456574053815,"Inflation, consumer prices (annual %)"
