Pais,Año,Continente,GDP per capita (current US$),"Inflation, GDP deflator (annual %)","Inflation, consumer prices (annual %)","Life expectancy at birth, total (years)",Population growth (annual %),ratio_population ages 65 and above,ratio_urban population,Urban population growth (annual %),Cluster
Afghanistan,2017,Asia,0.0,0.0,0.0,63.016,2.86649214750073,0.023998175483619443,0.2524999987374948,3.7815566165204,0
Afghanistan,2018,Asia,0.0,0.0,0.0,63.081,2.88520797304849,0.024070929738621953,0.25495001142645807,3.85083283346822,0
Afghanistan,2019,Asia,0.0,0.0,0.0,63.565,2.90852909268743,0.02417755130932502,0.2575400060244379,3.9192869845162,0
Afghanistan,2020,Asia,0.0,0.0,0.0,62.575,3.13474690779163,0.0241695176283215,0.2602600107820363,4.18535706165902,0
Afghanistan,2021,Asia,0.0,0.0,0.0,61.982,2.85135765449931,0.024040571915902514,0.2631399892597063,3.95185728902399,0
Algeria,2017,Africa,4134.93609898195,6.39065471249698,5.59111590961673,75.743,1.95700247075081,0.05499513741382176,0.7205199969875935,2.78342462531066,1
Algeria,2018,Africa,4171.79530903532,6.75734087886528,4.26999020467078,76.066,1.9033254281097,0.0567040714353877,0.7262900020504683,2.70094718319082,1
Algeria,2019,Africa,4021.98360796603,-0.472181732777585,1.95176821052894,76.474,1.83944488568624,0.05855036771958036,0.7318900050223195,2.60752982388108,1
Algeria,2020,Africa,3354.15730265114,-5.02587618904937,2.41513094083414,74.453,1.73245672803153,0.06017470078132332,0.7373300024905834,2.47298875191541,1
Algeria,2021,Africa,3700.31119460857,15.567230644726,7.22606307415476,76.377,1.65770320084269,0.06181999901353546,0.7426100099803139,2.37124967540079,1
Argentina,2017,Sudamérica,14613.035714704,26.0063792819079,0.0,76.833,1.03713389686514,0.11330447075820123,0.9174900080738229,1.17019595911431,3
Argentina,2018,Sudamérica,11795.1628852236,42.0336689575031,0.0,76.999,1.01580834908002,0.11459755185033872,0.9187000002831811,1.14760215897919,3
Argentina,2019,Sudamérica,9963.67423069626,49.1955790596612,0.0,77.284,0.993397493293046,0.1160059727568516,0.9199100098819032,1.12501972603644,3
Argentina,2020,Sudamérica,8496.428156755,40.0768830264559,0.0,75.892,0.970053991438048,0.11727453983440819,0.9211099963212449,1.10041505272326,3
Argentina,2021,Sudamérica,10636.1155301986,54.1524119419346,0.0,75.39,0.947490959333989,0.11821908160902109,0.9222899940921764,1.07551503856124,3
Australia,2017,Oceania,53934.1543741253,3.74325877767707,1.94864740944522,82.5,1.65339053503068,0.15418499856185616,0.8590399883679901,1.77452889208332,2
Australia,2018,Oceania,57206.9906696898,1.82915392037633,1.91140094445692,82.7487804878049,1.50299298221362,0.1566882259661421,0.8601200009148207,1.62863721493696,2
Australia,2019,Oceania,54941.0657202842,3.39772301032441,1.61076787290379,82.9,1.48520844681971,0.1593194328209581,0.861239980699455,1.61533578272113,2
Australia,2020,Oceania,51722.0690001531,1.73972809592115,0.846905537459293,83.2,1.23570107988933,0.16233592223420285,0.8624100083222606,1.3714627263914,2
Australia,2021,Oceania,60444.5023551978,2.80089983637042,2.86391042204995,83.3,0.127728295728263,0.1656915645580193,0.863620008331491,0.267934456197247,2
Austria,2017,Europa,47429.1584564391,1.0055341594591,2.08126911385587,81.6439024390244,0.694621103604983,0.18596905098523842,0.5809400009047957,1.02047862584527,2
Austria,2018,Europa,51466.5565633624,1.83806444755734,1.99837981429546,81.6926829268293,0.487071924768999,0.18750512554633375,0.5829700534617813,0.835905515118155,2
Austria,2019,Europa,50070.4033482892,1.54667159135312,1.53089564152645,81.8951219512195,0.444673639004876,0.18930114235263382,0.5851499788286381,0.81791060733558,2
Austria,2020,Europa,48809.2268762235,2.55860215225682,1.38191063351859,81.1926829268293,0.415176731565556,0.19149434150840475,0.5874799705367268,0.812573160966703,2
Austria,2021,Europa,53637.7057109897,1.94340746030799,2.76666666666665,81.2390243902439,0.435671684056384,0.19441161964702863,0.589949950853062,0.85522683458329,2
Brazil,2017,Sudamérica,9896.7175109967,3.67138451275035,3.44637335032672,74.827,0.79226340042227,0.08428128040695052,0.8630900003529892,1.10209658803347,1
Brazil,2018,Sudamérica,9121.02009249958,4.49353433137021,3.66485028376724,75.109,0.793768153848091,0.08705594369632258,0.8656899998644885,1.09455847667219,1
Brazil,2019,Sudamérica,8845.3239312417,4.22425886899158,3.73297621216894,75.338,0.766107802084815,0.0899540896785811,0.8682400000249312,1.06023755345792,1
Brazil,2020,Sudamérica,6923.70019715065,6.47249960755747,3.21176803803379,74.009,0.665176682246802,0.09290755340674199,0.870730001022907,0.951553410794994,1
Brazil,2021,Sudamérica,7696.78553127562,11.3840669684878,8.30165975585676,72.75,0.528590452919416,0.09581065122395219,0.8731699993612074,0.808423004096535,1
Burkina Faso,2017,Africa,711.184543938412,1.41629727998107,1.48299897161327,59.536,2.86565542084027,0.025691603559573777,0.28743001689163133,5.007199056703,0
Burkina Faso,2018,Africa,779.202768060739,1.07396688968345,1.95594302672532,60.047,2.76868116258088,0.025638802625819024,0.29358001871549966,4.88576388054275,0
Burkina Faso,2019,Africa,772.166877547544,1.61709395420242,-3.23338933983321,60.039,2.70387556725288,0.02565269476053878,0.29979998223528004,4.80040438074702,0
Burkina Faso,2020,Africa,833.244336106076,6.83501464966376,1.88443993781985,59.731,2.68878766730686,0.02561411418848239,0.30606999350358083,4.75861629956921,0
Burkina Faso,2021,Africa,893.077195986297,-0.816610098684606,3.65353287214207,59.27,2.65037591522147,0.02547206346518793,0.3123999832946339,4.69743109075788,0
Cambodia,2017,Asia,1400.89926526097,3.34104215913938,2.9126355737148,70.515,1.3104826630319,0.04566143646685245,0.22979997901544272,3.05757539541515,4
Cambodia,2018,Asia,1533.31598456036,3.11182136783394,2.45908515380133,70.561,1.22144565921597,0.047773580648225004,0.23388002100187216,2.98134355992261,4
Cambodia,2019,Asia,1671.38540009767,3.23537176925623,1.94257500833109,70.692,1.13244216195679,0.050157375368542916,0.23805000399191842,2.89969209242329,4
Cambodia,2020,Asia,1577.91173993243,-0.67185654432032,2.94029514263973,70.416,1.16005769739725,0.05272588776143725,0.2423199929742646,2.93789622895568,4
